"CASEID","D104","D108","D111","V012","V024","V025","V131","V149","V136","V190","V155","S119"
"      030106701  3",NA,NA,NA,18,6,1,10,4,3,3,2,10
"      030107501  3",NA,NA,NA,22,6,1,10,5,3,5,2,10
"      030108701  1",1,0,1,40,6,1,10,4,3,5,2,10
"      030108701  2",NA,NA,NA,18,6,1,10,5,3,5,2,10
"      030108901  2",NA,NA,NA,NA,6,1,NA,NA,NA,4,NA,NA
"      030108901  4",NA,NA,NA,18,6,1,10,4,5,4,2,10
"      030200301  1",0,0,0,41,6,1,10,5,4,4,2,10
"      030202001  2",0,0,0,43,6,1,10,2,4,2,0,10
"      030202001  4",NA,NA,NA,13,6,1,10,1,4,2,2,10
"      030204201  2",0,0,0,25,6,1,10,5,3,4,2,10
"      030204601  2",0,0,0,26,6,1,10,5,4,4,2,10
"      030205201  4",0,0,0,30,6,1,10,5,6,3,2,10
"      030207301  2",0,0,0,40,6,1,10,5,5,5,2,10
"      030207301  3",NA,NA,NA,12,6,1,10,2,5,5,2,10
"      030207301  4",NA,NA,NA,24,6,1,10,5,5,5,2,10
"      030209701  2",0,0,0,30,6,1,10,4,4,3,2,10
"      030210501  2",0,0,0,31,6,1,10,5,4,3,2,10
"      030304101  1",NA,NA,NA,33,6,1,10,5,6,5,2,10
"      030304101  5",NA,NA,NA,39,6,1,10,5,6,5,2,10
"      030304101  6",NA,NA,NA,18,6,1,10,4,6,5,2,10
"      030308601  1",0,0,0,49,6,1,10,5,1,5,2,10
"      030308701  1",NA,NA,NA,NA,6,1,NA,NA,NA,4,NA,NA
"      030310301  2",0,0,0,41,6,1,10,5,4,4,2,10
"      030310401  2",0,0,0,37,6,1,10,5,4,2,2,10
"      030315801  2",NA,NA,NA,22,6,1,10,5,5,5,2,10
"      030315801  3",0,0,0,30,6,1,10,5,5,5,2,10
"      030318201  2",NA,NA,NA,32,6,1,10,5,6,3,2,10
"      030318201  6",1,1,1,49,6,1,10,1,6,3,1,1
"      030403501  2",0,0,0,24,6,1,10,2,5,2,2,10
"      030404001  2",0,0,0,36,6,1,10,2,4,1,2,10
"      030404001  3",NA,NA,NA,14,6,1,10,3,4,1,2,10
"      030405301  1",0,0,0,46,6,1,10,4,3,3,2,10
"      030405301  2",NA,NA,NA,18,6,1,10,5,3,3,2,10
"      030406901  2",0,0,0,37,6,1,10,2,7,1,2,10
"      030406901  4",NA,NA,NA,15,6,1,10,3,7,1,2,10
"      030408701  3",NA,NA,NA,18,6,1,10,4,3,2,2,10
"      030411901  2",0,0,0,27,6,1,10,5,3,4,2,10
"      030412301  2",0,0,0,31,6,1,10,2,5,2,2,10
"      030413801  2",NA,NA,NA,47,6,1,10,1,6,2,2,10
"      030413801  4",0,0,0,23,6,1,10,5,6,2,2,10
"      030414801  2",0,0,0,34,6,1,10,1,4,3,1,10
"      030414801  3",NA,NA,NA,14,6,1,10,3,4,3,2,10
"      030500301  1",0,0,0,46,6,1,10,5,2,5,2,10
"      030501201  2",0,0,0,45,6,1,10,5,4,5,2,10
"      030501401  2",1,0,0,36,6,1,10,5,4,2,2,10
"      030502901  3",NA,NA,NA,33,6,1,10,5,6,3,2,10
"      030502901  4",NA,NA,NA,44,6,1,10,5,6,3,2,10
"      030505201  2",0,0,0,23,6,1,10,2,3,2,2,10
"      030506001  2",0,0,0,38,6,1,10,4,5,5,2,10
"      030506701  3",NA,NA,NA,23,6,1,10,5,6,3,2,10
"      030506701  4",NA,NA,NA,19,6,1,10,3,6,3,2,10
"      030506701  5",NA,NA,NA,16,6,1,10,3,6,3,2,10
"      030508201  2",0,0,0,28,6,1,10,3,3,2,2,10
"      030508301  1",1,0,0,40,6,1,10,5,4,3,2,10
"      030603601  2",0,0,1,47,6,1,10,5,8,2,2,10
"      030603601  4",NA,NA,NA,14,6,1,10,3,8,2,2,10
"      030603601  5",NA,NA,NA,13,6,1,10,2,8,2,2,10
"      030604101  2",0,0,0,39,6,1,10,4,4,2,2,10
"      030606101  2",0,0,1,22,6,1,10,1,4,1,0,10
"      030608901  2",0,0,0,23,6,1,10,4,4,2,2,10
"      030610501  2",0,0,0,27,6,1,10,4,4,2,2,10
"      030610801  2",1,0,1,27,6,1,10,3,4,2,2,10
"      030613801  2",1,0,0,28,6,1,10,4,3,2,2,10
"      030615101  2",0,0,0,29,6,1,10,5,3,4,2,10
"      030900701  2",1,0,0,30,6,1,10,5,2,4,2,10
"      030904201  2",0,0,0,27,6,1,10,5,3,4,2,10
"      030906301  1",0,0,0,19,6,1,10,3,2,2,2,10
"      030909901  1",NA,NA,NA,40,6,1,10,4,2,2,2,10
"      030910401  2",NA,NA,NA,NA,6,1,NA,NA,NA,4,NA,NA
"      030910401  3",NA,NA,NA,NA,6,1,NA,NA,NA,4,NA,NA
"      030912301  1",0,0,0,45,6,1,10,3,6,2,2,10
"      030912601  1",0,0,0,23,6,1,10,4,3,3,2,10
"      030916701  2",0,0,0,33,6,1,10,2,7,1,2,10
"      030918401  1",1,0,0,29,6,1,10,4,3,2,2,1
"      031001001  2",NA,NA,NA,44,6,1,10,4,5,4,2,10
"      031001001  3",NA,NA,NA,22,6,1,10,5,5,4,2,10
"      031005201  2",0,0,0,40,6,1,10,4,3,3,2,10
"      031006601  3",NA,NA,NA,25,6,1,10,5,6,4,2,10
"      031006601  4",NA,NA,NA,20,6,1,10,5,6,4,2,10
"      031007801  2",0,0,0,35,6,1,10,5,3,5,2,10
"      031008001  1",1,1,1,47,6,1,10,5,4,5,2,10
"      031008701  2",0,0,0,24,6,1,10,4,4,3,2,10
"      031010401  2",0,0,0,29,6,1,10,5,6,5,2,10
"      031012001  2",0,0,0,47,6,1,10,2,6,3,2,10
"      031012001  3",NA,NA,NA,14,6,1,10,3,6,3,2,10
"      031012001  4",NA,NA,NA,12,6,1,10,3,6,3,2,10
"      031116401  2",NA,NA,NA,NA,20,1,NA,NA,NA,5,NA,NA
"      031121001  1",NA,NA,NA,42,20,1,10,5,2,5,2,10
"      031121001  2",NA,NA,NA,22,20,1,10,5,2,5,2,10
"      031131301  2",0,0,0,33,20,1,10,5,3,4,2,10
"      031143001  1",NA,NA,NA,47,20,1,10,4,3,4,2,10
"      031143001  3",NA,NA,NA,15,20,1,10,3,3,4,2,10
"      031151801  2",NA,NA,NA,42,20,1,10,5,12,4,2,10
"      031151801  3",NA,NA,NA,38,20,1,10,5,12,4,2,10
"      031151801  5",NA,NA,NA,15,20,1,10,3,12,4,2,10
"      031151801  9",NA,NA,NA,22,20,1,10,5,12,4,2,10
"      031151801 10",NA,NA,NA,25,20,1,10,4,12,4,2,10
"      031155201  4",0,0,0,35,20,1,10,5,7,5,2,10
"      031161101  2",0,0,0,28,20,1,10,5,5,2,2,10
"      031161201  2",0,0,0,42,20,1,10,3,6,1,2,10
"      031161201  3",NA,NA,NA,25,20,1,10,5,6,1,2,10
"      031161201  4",NA,NA,NA,19,20,1,10,4,6,1,2,10
"      031304001  2",0,0,0,25,6,1,10,5,3,3,2,10
"      031304701  2",NA,NA,NA,NA,6,1,NA,NA,NA,2,NA,NA
"      031306101  1",0,0,0,31,6,1,10,5,3,3,2,10
"      031306201  2",0,0,0,20,6,1,10,3,3,2,2,10
"      031306401  2",0,0,0,28,6,1,10,5,3,3,2,10
"      031308901  2",0,0,0,30,6,1,10,4,4,3,2,10
"      031309901  1",1,0,0,39,6,1,10,5,3,2,2,10
"      031309901  2",NA,NA,NA,14,6,1,10,3,3,2,2,10
"      031309901  3",NA,NA,NA,12,6,1,10,2,3,2,2,10
"      031312201  3",NA,NA,NA,41,6,1,10,5,6,3,2,10
"      031312201  4",0,0,0,37,6,1,10,5,6,3,2,10
"      031400501  2",NA,NA,NA,NA,6,1,NA,NA,NA,3,NA,NA
"      031405801  3",0,0,0,26,6,1,10,5,4,3,2,10
"      031406101  2",0,0,0,47,6,1,10,5,5,5,2,10
"      031406101  3",NA,NA,NA,16,6,1,10,3,5,5,2,10
"      031408601  4",0,0,0,23,6,1,10,5,5,5,2,10
"      031411701  3",NA,NA,NA,28,6,1,10,5,7,5,2,10
"      031411701  4",NA,NA,NA,26,6,1,10,5,7,5,2,10
"      031411901  2",0,0,0,18,6,1,10,4,2,4,2,10
"      031416001  2",0,0,0,30,6,1,10,5,4,5,2,10
"      031703701  1",0,0,0,28,6,1,10,2,3,1,2,10
"      031704001  2",NA,NA,NA,21,6,1,10,5,5,2,2,10
"      031704001  5",NA,NA,NA,27,6,1,10,4,5,2,2,10
"      031705101  2",0,0,0,39,6,1,10,1,8,1,1,10
"      031707101  2",1,0,1,49,6,1,10,3,4,2,2,10
"      031707801  5",0,0,0,20,6,1,10,4,6,1,2,10
"      031710001  2",0,0,0,37,6,1,10,5,4,2,2,10
"      031712101  2",0,0,0,26,6,1,10,4,3,1,2,10
"      031800101  4",NA,NA,NA,20,6,2,10,4,4,1,2,10
"      031800401  2",0,0,0,32,6,2,10,4,5,1,2,10
"      031800501  2",0,0,0,21,6,2,10,3,3,1,2,10
"      031802101  1",0,0,0,49,6,2,10,1,1,1,1,10
"      031802301  2",0,0,0,34,6,2,10,2,4,1,2,10
"      031802401  1",1,1,1,40,6,2,10,4,4,1,2,10
"      031802401  3",NA,NA,NA,13,6,2,10,3,4,1,2,10
"      031802501  1",0,0,0,27,6,2,10,4,8,1,2,10
"      031802501  8",NA,NA,NA,20,6,2,10,4,8,1,2,10
"      031807701  1",1,1,1,39,6,2,10,3,4,2,2,10
"      031807801  3",0,0,0,41,6,2,10,5,4,2,2,10
"      031807901  2",0,0,0,27,6,2,10,4,4,1,2,10
"      031902801  2",0,0,0,35,6,2,10,4,3,1,2,10
"      031903001  2",0,0,0,33,6,2,10,4,5,1,2,10
"      031903101  2",0,0,0,38,6,2,10,5,5,2,2,10
"      031904001  2",0,0,0,36,6,2,10,4,5,1,2,10
"      031904001  5",NA,NA,NA,12,6,2,10,2,5,1,2,10
"      031904101  2",0,0,1,22,6,2,10,4,4,1,2,10
"      031904201  2",0,0,0,23,6,2,10,2,4,1,2,10
"      031904401  2",1,0,1,42,6,2,10,1,3,2,2,10
"      031909701  2",0,0,0,30,6,2,10,1,5,2,2,10
"      031909701  3",NA,NA,NA,13,6,2,10,3,5,2,2,10
"      031909801  2",0,0,0,35,6,2,10,4,5,2,2,10
"      031909901  1",NA,NA,NA,34,6,2,10,2,3,1,2,10
"      031910001  2",NA,NA,NA,34,6,2,10,2,4,1,2,10
"      031910001  3",NA,NA,NA,15,6,2,10,3,4,1,2,10
"      032002701  2",0,0,0,42,6,2,10,3,4,1,2,10
"      032002801  2",0,0,0,36,6,2,10,4,3,2,2,10
"      032006501  2",0,0,0,30,6,2,10,4,4,2,2,10
"      032006601  2",0,0,0,32,6,2,10,1,7,1,2,10
"      032006601  3",NA,NA,NA,14,6,2,10,3,7,1,2,10
"      032008601  3",1,0,0,30,6,2,10,3,7,2,2,10
"      032008601  4",NA,NA,NA,14,6,2,10,3,7,2,2,10
"      032008701  2",0,0,0,43,6,2,10,3,3,1,2,10
"      032008701  3",NA,NA,NA,15,6,2,10,3,3,1,2,10
"      032008901  2",0,0,0,48,6,2,10,2,4,1,2,10
"      032008901  3",NA,NA,NA,15,6,2,10,3,4,1,2,10
"      032009101  1",0,0,0,32,6,2,10,2,4,1,2,10
"      032009701  2",NA,NA,NA,NA,6,2,NA,NA,NA,1,NA,NA
"      032009801  3",NA,NA,NA,15,6,2,10,3,3,1,2,10
"      032010401  1",0,0,0,38,6,2,10,4,5,1,2,10
"      032010401  2",NA,NA,NA,14,6,2,10,3,5,1,2,10
"      032010501  2",0,0,0,45,6,2,10,2,5,1,2,10
"      032201101  1",0,0,0,34,6,2,10,1,3,1,0,10
"      032201201  1",NA,NA,NA,36,6,2,10,1,5,1,0,10
"      032201201  2",NA,NA,NA,NA,6,2,NA,NA,NA,1,NA,NA
"      032201201  3",NA,NA,NA,14,6,2,10,3,5,1,2,10
"      032201401  2",0,0,0,31,6,2,10,2,5,1,2,10
"      032201501  2",1,0,1,23,6,2,10,1,4,1,2,10
"      032205501  2",0,0,0,27,6,2,10,4,4,2,2,10
"      032206101  2",0,0,0,46,6,2,10,4,3,2,2,10
"      032206201  2",0,0,0,33,6,2,10,1,4,1,2,10
"      032214301  2",1,0,0,24,6,2,10,1,4,1,2,10
"      032217301  2",0,0,0,19,6,2,10,3,3,1,2,10
"      032217401  2",0,0,0,36,6,2,10,1,3,1,0,10
"      032217501  2",0,0,0,22,6,2,10,3,4,1,2,10
"      032217601  2",1,0,1,40,6,2,10,1,3,1,2,10
"      032301201  2",0,0,0,26,6,2,10,3,4,1,2,10
"      032301301  2",1,0,0,37,6,2,10,1,4,1,0,10
"      032301301  4",NA,NA,NA,13,6,2,10,3,4,1,2,10
"      032301401  2",0,0,0,29,6,2,10,3,5,1,2,10
"      032301601  2",NA,NA,NA,41,6,2,10,2,3,1,2,10
"      032306001  2",NA,NA,NA,NA,6,2,NA,NA,NA,1,NA,NA
"      032306201  2",NA,NA,NA,44,6,2,10,2,4,1,1,10
"      032306201  3",NA,NA,NA,17,6,2,10,5,4,1,2,10
"      032311701  2",0,0,0,38,6,2,10,2,4,1,2,10
"      032312701  2",1,0,1,40,6,2,10,3,5,1,2,10
"      032312701  3",NA,NA,NA,14,6,2,10,3,5,1,2,10
"      032313101  3",NA,NA,NA,NA,6,2,NA,NA,NA,1,NA,NA
"      032313101  4",NA,NA,NA,35,6,2,10,3,6,1,2,10
"      032313201  2",0,0,0,22,6,2,10,4,3,1,2,10
"      032400901  1",1,1,1,34,6,2,10,4,4,1,2,10
"      032400901  2",NA,NA,NA,15,6,2,10,3,4,1,2,10
"      032400901  3",NA,NA,NA,12,6,2,10,2,4,1,2,10
"      032401101  2",0,0,0,31,6,2,10,4,4,2,2,10
"      032401201  2",0,0,0,38,6,2,10,4,3,1,2,10
"      032401301  2",0,0,0,48,6,2,10,1,5,1,0,10
"      032401301  3",NA,NA,NA,16,6,2,10,3,5,1,2,10
"      032401401  2",NA,NA,NA,40,6,2,10,2,5,2,1,10
"      032401401  5",NA,NA,NA,22,6,2,10,5,5,2,2,10
"      032401601  2",NA,NA,NA,35,6,2,10,2,4,1,2,10
"      032401601  3",NA,NA,NA,18,6,2,10,4,4,1,2,10
"      032401901  2",0,0,0,20,6,2,10,3,3,1,2,10
"      032406401  2",0,0,0,29,6,2,10,2,4,1,2,10
"      032406701  2",1,0,0,23,6,2,10,4,3,1,2,10
"      032406901  2",0,0,0,21,6,2,10,3,3,1,2,10
"      032500101  2",0,0,0,34,6,2,10,1,3,1,1,10
"      032500301  4",0,0,0,24,6,2,10,4,5,1,2,10
"      032500401  3",0,0,0,22,6,2,10,4,5,1,2,10
"      032500801  2",NA,NA,NA,NA,6,2,NA,NA,NA,1,NA,NA
"      032500901  2",0,0,0,35,6,2,10,2,3,1,2,10
"      032501001  4",0,0,0,26,6,2,10,4,6,1,2,10
"      032501201  2",0,0,0,27,6,2,10,2,3,1,2,10
"      032501301  3",0,0,0,33,6,2,10,2,6,1,1,10
"      032510701  1",0,0,0,28,6,2,10,2,2,1,2,10
"      032510801  2",NA,NA,NA,49,6,2,10,1,10,1,2,10
"      032510801  4",NA,NA,NA,18,6,2,10,4,10,1,2,10
"      032510801  5",NA,NA,NA,26,6,2,10,2,10,1,1,10
"      032510801  9",1,0,1,17,6,2,10,4,10,1,2,10
"      032510901  2",0,0,0,33,6,2,10,1,4,1,0,10
"      032511001  2",0,0,0,30,6,2,10,2,3,1,2,10
"      032511101  2",1,0,0,29,6,2,10,2,4,1,2,10
"      032802301  2",1,0,1,44,6,2,10,1,3,1,2,10
"      032802301  3",NA,NA,NA,16,6,2,10,3,3,1,2,10
"      032802501  4",0,0,0,31,6,2,10,4,5,1,2,10
"      032802601  2",0,0,0,26,6,2,10,3,5,1,2,10
"      032802701  2",0,0,0,39,6,2,10,2,6,1,2,10
"      032802801  1",0,0,0,28,6,2,10,2,5,1,2,10
"      032803001  2",0,0,0,45,6,2,10,1,5,1,2,10
"      032803001  4",NA,NA,NA,12,6,2,10,1,5,1,2,10
"      032803301  2",0,0,0,33,6,2,10,2,4,1,2,10
"      032807401  2",NA,NA,NA,13,6,2,10,3,2,1,2,10
"      032807501  2",0,0,0,46,6,2,10,1,4,1,0,10
"      032807601  1",1,0,0,44,6,2,10,3,3,1,2,10
"      032903801  2",0,0,0,29,6,2,10,4,5,1,2,10
"      032903901  1",0,0,1,27,6,2,10,3,3,1,2,10
"      032904001  3",0,0,0,27,6,2,10,3,4,1,2,10
"      032904101  2",0,0,0,40,6,2,10,1,5,1,2,10
"      032905701  2",0,0,0,28,6,2,10,3,4,1,2,10
"      032905801  2",0,0,0,31,6,2,10,1,4,1,2,10
"      032906001  2",0,0,0,24,6,2,10,3,4,1,2,10
"      032908101  2",1,0,0,45,6,2,10,0,3,1,0,10
"      032908301  2",0,0,0,35,6,2,10,1,4,1,2,10
"      032908501  2",0,0,0,40,6,2,10,1,4,1,2,10
"      033000301  2",NA,NA,NA,17,6,2,10,3,2,2,2,10
"      033000601  2",0,0,0,36,6,2,10,5,3,2,2,10
"      033000701  2",0,0,0,28,6,2,10,5,4,2,2,10
"      033002001  2",0,0,0,26,6,2,10,5,4,2,2,10
"      033002901  2",NA,NA,NA,12,6,2,10,2,7,1,2,10
"      033002901  4",0,0,0,23,6,2,10,5,7,1,2,10
"      033002901  5",NA,NA,NA,20,6,2,10,4,7,1,2,10
"      033003701  2",0,0,0,32,6,2,10,5,4,2,2,10
"      033003701  4",NA,NA,NA,12,6,2,10,2,4,2,2,10
"      033004101  3",1,0,1,32,6,2,10,4,7,1,2,10
"      033006501  4",NA,NA,NA,15,6,2,10,3,6,1,2,10
"      033006501  5",NA,NA,NA,20,6,2,10,5,6,1,2,10
"      033006901  1",1,0,0,41,6,2,10,1,4,1,2,10
"      033006901  3",NA,NA,NA,14,6,2,10,3,4,1,2,10
"      033006902  2",0,0,0,25,6,2,10,5,4,1,2,10
"      033007001  2",0,0,0,31,6,2,10,5,4,2,2,10
"      033106601  1",0,0,0,26,6,2,10,3,3,1,2,10
"      033106801  2",0,0,0,35,6,2,10,2,4,1,2,10
"      033109001  3",NA,NA,NA,16,6,2,10,3,3,1,2,10
"      033109101  2",0,0,0,25,6,2,10,3,4,1,2,10
"      033109201  3",NA,NA,NA,34,6,2,10,2,3,1,2,10
"      033109301  2",0,0,0,29,6,2,10,2,4,1,2,10
"      033110001  2",NA,NA,NA,17,6,2,10,3,5,1,2,10
"      033110001  3",NA,NA,NA,12,6,2,10,1,5,1,1,10
"      033110101  2",0,0,0,38,6,2,10,1,5,1,2,10
"      033110201  2",0,0,0,34,6,2,10,1,3,1,1,10
"      033110301  2",0,0,0,34,6,2,10,3,6,1,2,10
"      033110301  5",NA,NA,NA,16,6,2,10,3,6,1,2,10
"      033110301  6",NA,NA,NA,14,6,2,10,3,6,1,2,10
"      033300601  2",0,0,0,28,6,2,10,3,4,1,2,10
"      033300701  2",0,0,0,36,6,2,10,2,5,1,2,10
"      033300701  4",NA,NA,NA,21,6,2,10,4,5,1,2,10
"      033300801  2",0,0,0,30,6,2,10,0,2,1,0,10
"      033300901  2",0,0,0,19,6,2,10,4,2,1,2,10
"      033301001  2",0,0,0,25,6,2,10,2,3,1,1,10
"      033302901  2",1,0,1,29,6,2,10,3,5,1,2,10
"      033303701  4",NA,NA,NA,13,6,2,10,3,6,1,2,10
"      033303801  2",0,0,0,25,6,2,10,4,4,1,2,10
"      033304001  2",0,0,0,35,6,2,10,0,5,1,0,10
"      033304101  1",NA,NA,NA,44,6,2,10,1,4,1,2,10
"      033304101  3",NA,NA,NA,24,6,2,10,4,4,1,2,10
"      033306301  2",0,0,0,17,6,2,10,2,3,1,2,10
"      033307001  1",NA,NA,NA,47,6,2,10,1,3,1,0,10
"      033307001  3",NA,NA,NA,16,6,2,10,3,3,1,2,10
"      033307101  3",NA,NA,NA,31,6,2,10,2,3,1,2,10
"      033307201  2",0,0,0,30,6,2,10,1,3,1,1,10
"      033506701  2",0,0,0,24,6,2,10,3,3,1,2,10
"      033506901  2",0,0,0,37,6,2,10,1,4,2,2,10
"      033510701  2",0,0,0,19,6,2,10,4,3,2,2,10
"      033510901  2",NA,NA,NA,44,6,2,10,4,8,2,2,10
"      033510901  3",NA,NA,NA,17,6,2,10,4,8,2,2,10
"      033510901  4",NA,NA,NA,15,6,2,10,3,8,2,2,10
"      033511101  2",0,0,0,41,6,2,10,2,5,1,2,10
"      033511101  3",NA,NA,NA,17,6,2,10,4,5,1,2,10
"      033512201  2",NA,NA,NA,37,6,2,10,4,5,2,2,10
"      033512201  3",NA,NA,NA,16,6,2,10,3,5,2,2,10
"      033512201  4",NA,NA,NA,12,6,2,10,2,5,2,2,10
"      033512301  2",0,0,0,44,6,2,10,5,2,2,2,10
"      033512401  2",0,0,0,26,6,2,10,5,3,2,2,10
"      033512501  2",0,0,0,41,6,2,10,5,5,3,2,10
"      033512501  5",NA,NA,NA,16,6,2,10,3,5,3,2,10
"      033512601  2",NA,NA,NA,44,6,2,10,2,6,2,1,10
"      033512601  5",0,0,0,23,6,2,10,5,6,2,2,10
"      033600501  2",0,0,0,33,6,2,10,1,3,1,1,10
"      033600701  5",NA,NA,NA,22,6,2,10,4,9,1,2,10
"      033600701  6",NA,NA,NA,20,6,2,10,5,9,1,2,10
"      033600701  8",NA,NA,NA,12,6,2,10,2,9,1,2,10
"      033600801  2",0,0,0,29,6,2,10,4,4,1,2,10
"      033608801  2",0,0,0,29,6,2,10,4,4,2,2,10
"      033609301  2",0,0,0,32,6,2,10,1,4,1,1,10
"      033609501  2",0,0,0,35,6,2,10,3,5,2,2,10
"      033609501  3",NA,NA,NA,17,6,2,10,4,5,2,2,10
"      033609501  4",NA,NA,NA,NA,6,2,NA,NA,NA,2,NA,NA
"      033609801  2",0,0,0,21,6,2,10,4,3,2,2,10
"      033610101  2",0,0,0,25,6,2,10,5,4,2,2,10
"      033610401  2",1,0,0,33,6,2,10,1,4,2,2,10
"      033610501  2",0,0,0,35,6,2,10,0,5,1,0,10
"      033610501  3",NA,NA,NA,18,6,2,10,4,5,1,2,10
"      033610501  4",NA,NA,NA,12,6,2,10,1,5,1,2,10
"      033611001  2",0,0,0,19,6,2,10,1,3,1,2,10
"      033611101  2",0,0,1,36,6,2,10,2,6,1,2,10
"      033700601  2",0,0,0,31,6,2,10,5,4,2,2,10
"      033701001  2",NA,NA,NA,40,6,2,10,4,5,2,2,10
"      033701001  3",NA,NA,NA,19,6,2,10,5,5,2,2,10
"      033701001  4",NA,NA,NA,12,6,2,10,2,5,2,2,10
"      033702401  3",0,0,0,17,6,2,10,3,4,1,2,10
"      033703101  2",0,0,0,38,6,2,10,2,3,1,2,10
"      033703401  2",0,0,0,28,6,2,10,3,4,1,2,10
"      033703501  2",1,1,0,45,6,2,10,3,5,1,2,10
"      033703501  4",NA,NA,NA,14,6,2,10,3,5,1,2,10
"      033705201  2",0,0,0,41,6,2,10,4,5,1,2,10
"      033705201  3",NA,NA,NA,13,6,2,10,3,5,1,2,10
"      033705301  4",0,0,0,29,6,2,10,3,8,1,2,10
"      033705301  8",NA,NA,NA,21,6,2,10,5,8,1,2,10
"      033705401  2",0,0,0,28,6,2,10,2,6,1,2,10
"      033708501  2",0,0,0,29,6,2,10,4,5,1,2,10
"      033708601  2",0,0,0,49,6,2,10,2,4,1,2,10
"      033708601  4",NA,NA,NA,13,6,2,10,3,4,1,2,10
"      034004501  2",1,0,0,32,6,2,10,2,3,1,1,10
"      034005401  2",NA,NA,NA,44,6,2,10,2,3,1,2,10
"      034005401  3",NA,NA,NA,16,6,2,10,3,3,1,2,10
"      034005501  2",0,0,0,36,6,2,10,1,8,1,0,10
"      034005501  3",NA,NA,NA,14,6,2,10,1,8,1,1,10
"      034005501  4",NA,NA,NA,12,6,2,10,2,8,1,0,10
"      034005601  1",0,0,1,41,6,2,10,1,3,1,0,10
"      034005801  2",0,0,0,18,6,2,10,2,4,1,2,10
"      034013301  1",0,0,0,34,6,2,10,3,3,1,2,10
"      034013301  2",NA,NA,NA,13,6,2,10,3,3,1,2,10
"      034013501  3",NA,NA,NA,32,6,2,10,2,6,1,2,10
"      034013501  5",NA,NA,NA,17,6,2,10,4,6,1,2,10
"      034013601  2",0,0,0,23,6,2,10,4,3,1,2,10
"      034013701  1",0,0,0,37,6,2,10,0,5,1,0,10
"      034100101  2",0,0,0,33,6,2,10,1,3,1,2,10
"      034100201  2",0,0,0,28,6,2,10,3,4,1,2,10
"      034100301  2",0,0,0,43,6,2,10,2,6,1,2,10
"      034100301  3",NA,NA,NA,13,6,2,11,3,6,1,2,10
"      034100301  5",NA,NA,NA,23,6,2,10,4,6,1,2,10
"      034100901  3",NA,NA,NA,13,6,2,10,1,6,1,2,10
"      034100901  4",1,0,0,21,6,2,10,1,6,1,1,10
"      034104201  2",1,1,0,46,6,2,10,2,5,1,2,10
"      034104701  2",0,0,0,27,6,2,10,5,3,1,2,10
"      034104901  2",0,0,0,42,6,2,10,1,4,1,0,10
"      034105001  2",NA,NA,NA,46,6,2,10,0,5,1,0,10
"      034105001  3",0,0,0,17,6,2,10,4,5,1,2,10
"      034106201  2",1,0,1,40,6,2,10,1,3,1,2,10
"      034506901  2",0,0,0,21,6,2,10,3,3,2,2,10
"      034507301  2",1,0,1,27,6,2,10,3,4,1,2,10
"      034507401  2",1,1,0,39,6,2,10,2,4,1,2,10
"      034517201  2",0,0,0,26,6,2,10,1,4,2,2,10
"      034517301  2",0,0,0,29,6,2,10,2,4,2,2,10
"      034517401  2",NA,NA,NA,36,6,2,10,5,4,3,2,10
"      034517401  3",NA,NA,NA,16,6,2,10,3,4,3,2,10
"      034517501  2",0,0,0,37,6,2,10,3,5,2,2,10
"      034517601  2",0,0,0,25,6,2,10,5,4,1,2,10
"      034519301  3",0,0,0,20,6,2,10,4,4,2,2,10
"      034519501  2",1,0,1,44,6,2,10,1,4,1,2,10
"      034519601  2",0,0,0,27,6,2,10,2,4,2,2,10
"      034600101  2",NA,NA,NA,NA,6,2,NA,NA,NA,1,NA,NA
"      034600201  2",NA,NA,NA,39,6,2,10,1,4,1,0,10
"      034600201  3",NA,NA,NA,17,6,2,10,3,4,1,2,10
"      034600301  2",0,0,0,20,6,2,10,1,3,1,2,10
"      034600401  2",0,0,0,19,6,2,10,4,3,1,2,10
"      034600501  3",NA,NA,NA,30,6,2,10,2,8,1,0,10
"      034600501  4",NA,NA,NA,14,6,2,10,1,8,1,1,10
"      034610601  2",0,0,0,29,6,2,10,2,4,1,1,10
"      034610701  2",NA,NA,NA,47,6,2,10,1,8,1,2,10
"      034610701  6",0,0,1,25,6,2,10,1,8,1,1,10
"      034610901  2",0,0,0,28,6,2,10,2,4,1,1,10
"      034611001  1",0,0,0,30,6,2,10,1,2,1,2,10
"      034611501  3",NA,NA,NA,17,6,2,10,4,3,1,2,10
"      034612201  2",1,1,1,36,6,2,10,2,4,2,1,10
"      034612301  3",0,0,0,37,6,2,10,1,6,1,2,10
"      034612501  2",0,0,0,22,6,2,10,2,5,1,2,10
"      034700101  2",1,1,1,29,6,2,10,4,5,2,2,10
"      034700301  2",1,0,0,47,6,2,10,4,4,1,2,10
"      034700401  2",NA,NA,NA,36,6,2,10,2,5,1,2,10
"      034700401  3",NA,NA,NA,18,6,2,10,4,5,1,2,10
"      034700401  4",NA,NA,NA,16,6,2,10,4,5,1,2,10
"      034700501  2",0,0,0,38,6,2,10,1,4,1,1,10
"      034704201  2",0,0,0,40,6,2,10,1,4,1,2,10
"      034704201  3",NA,NA,NA,14,6,2,10,3,4,1,2,10
"      034704301  3",0,0,0,19,6,2,10,4,5,1,2,10
"      034704501  2",0,0,0,40,6,2,10,2,6,2,2,10
