"CASEID","D104","D108","D111","V012","V024","V025","V131","V149","V136","V190","V155","S119"
"      001502201  2",NA,NA,NA,19,1,1,10,4,6,2,2,10
"      001502201  3",NA,NA,NA,16,1,1,10,3,6,2,2,10
"      001502401  1",1,0,1,44,1,1,10,4,2,2,2,10
"      001502501  4",0,0,0,26,1,1,10,5,5,5,2,10
"      001506901  1",NA,NA,NA,42,1,1,10,4,5,4,2,10
"      001506901  2",NA,NA,NA,21,1,1,10,5,5,4,2,10
"      001509201  2",0,0,0,40,1,1,10,3,5,2,2,10
"      001512401  2",0,0,0,40,1,1,10,5,4,4,2,10
"      001513101  1",1,0,0,32,1,1,10,5,4,2,2,10
"      001513102  2",0,0,0,24,1,1,10,4,2,2,2,10
"      001601801  2",0,0,0,21,1,1,10,5,3,3,2,10
"      001604001  3",NA,NA,NA,NA,1,1,NA,NA,NA,3,NA,NA
"      001604101  2",0,0,0,38,1,1,10,2,5,3,2,10
"      001604101  4",NA,NA,NA,17,1,1,10,4,5,3,2,10
"      001605001  1",1,0,0,28,1,1,10,5,3,2,2,10
"      001605501  1",0,0,0,35,1,1,10,5,3,3,2,10
"      001606101  2",NA,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA
"      001607001  1",NA,NA,NA,46,1,1,10,4,6,2,2,10
"      001607001  4",NA,NA,NA,21,1,1,10,4,6,2,2,10
"      001607701  2",0,0,0,37,1,1,10,4,4,2,2,10
"      001608101  2",0,0,0,21,1,1,10,5,2,2,2,10
"      001700901  2",0,0,0,27,1,1,10,5,5,2,2,10
"      001701501  1",NA,NA,NA,15,1,1,10,3,2,2,2,10
"      001703701  2",1,0,0,37,1,1,10,1,4,3,2,10
"      001703701  4",NA,NA,NA,39,1,1,10,1,4,3,2,10
"      001706401  2",0,0,0,31,1,1,10,4,4,2,2,10
"      001710401  2",0,0,0,37,1,1,10,5,6,2,2,10
"      001710402  2",0,0,0,29,1,1,10,3,3,2,2,10
"      001712501  2",1,0,1,41,1,1,10,4,6,3,2,10
"      001712501  5",NA,NA,NA,22,1,1,10,4,6,3,2,10
"      001714901  2",0,0,0,38,1,1,10,5,3,4,2,10
"      001801601  2",NA,NA,NA,43,1,1,10,4,6,4,2,10
"      001801601  3",NA,NA,NA,20,1,1,10,5,6,4,2,10
"      001803001  2",NA,NA,NA,45,1,1,10,2,4,2,2,10
"      001803001  4",NA,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA
"      001803201  1",NA,NA,NA,34,1,1,10,5,6,3,2,10
"      001803201  3",0,0,1,29,1,1,10,5,6,3,2,10
"      001806801  1",1,0,0,36,1,1,10,4,7,2,2,10
"      001807601  2",0,0,0,31,1,1,10,3,3,3,2,10
"      002001501  2",0,0,0,27,1,1,10,4,5,3,2,10
"      002004101  2",NA,NA,NA,13,1,1,10,2,2,2,2,10
"      002005601  2",1,0,0,41,1,1,10,2,3,2,2,10
"      002007801  2",1,0,1,40,1,1,10,4,3,3,2,10
"      002009501  2",0,0,0,45,1,1,10,2,4,3,1,10
"      002012101  2",0,0,0,20,1,1,10,3,3,3,2,10
"      002013001  2",0,0,0,39,1,1,10,3,3,2,2,10
"      002101501  2",0,0,0,35,1,1,10,1,4,2,2,10
"      002103501  2",0,0,0,18,1,1,10,3,3,2,2,10
"      002106101  2",NA,NA,NA,40,1,1,10,1,6,2,2,10
"      002106101  4",NA,NA,NA,17,1,1,10,3,6,2,2,10
"      002106101  5",1,1,1,18,1,1,10,3,6,2,2,10
"      002107401  2",0,0,0,38,1,1,10,3,5,2,2,10
"      002110801  2",0,0,0,26,1,1,10,4,3,2,2,10
"      002111501  2",1,0,0,34,1,1,10,3,4,2,2,10
"      002112001  2",0,0,0,27,1,1,10,2,4,2,2,10
"      002200801  1",1,0,0,32,1,1,10,4,4,2,2,10
"      002200801  2",NA,NA,NA,12,1,1,10,2,4,2,2,10
"      002202101  2",1,0,0,40,1,1,10,3,3,2,2,10
"      002203701  2",0,1,1,36,1,1,10,5,4,5,2,10
"      002207901  2",0,0,0,26,1,1,10,4,3,1,2,10
"      002210601  2",0,0,0,26,1,1,10,5,3,2,2,10
"      002210901  2",0,0,0,34,1,1,10,4,5,2,2,10
"      002213501  3",NA,NA,NA,16,1,1,10,4,3,1,2,10
"      002301201  2",0,0,0,36,1,1,10,2,4,2,2,10
"      002305101  2",1,0,1,48,1,1,10,1,7,2,1,10
"      002305101  4",NA,NA,NA,13,1,1,10,3,7,2,2,10
"      002305101  6",NA,NA,NA,18,1,1,10,3,7,2,2,10
"      002306301  2",0,0,0,29,1,1,10,2,5,2,2,10
"      002306301  4",NA,NA,NA,13,1,1,10,3,5,2,2,10
"      002307801  2",0,0,0,43,1,1,10,1,3,1,2,10
"      002308301  2",NA,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA
"      002312001  2",0,0,0,39,1,1,10,1,4,2,1,10
"      002700901  2",1,1,1,37,1,1,10,4,4,3,2,10
"      002701601  1",NA,NA,NA,38,1,1,10,4,3,2,2,10
"      002701601  2",NA,NA,NA,15,1,1,10,3,3,2,2,10
"      002702101  2",0,0,0,26,1,1,10,5,4,4,2,10
"      002705501  4",0,0,0,24,1,1,10,5,5,2,2,10
"      002707201  2",0,0,1,23,1,1,10,3,5,2,2,10
"      002708501  1",NA,NA,NA,30,1,1,10,5,1,2,2,10
"      002901401  1",NA,NA,NA,NA,1,2,NA,NA,NA,1,NA,NA
"      002901401  5",NA,NA,NA,16,1,2,9,2,9,1,1,9
"      002901401  7",0,0,0,21,1,2,9,2,9,1,1,9
"      002901601  2",0,0,0,26,1,2,9,5,3,1,2,9
"      002901801  2",0,0,0,24,1,2,9,2,6,1,1,9
"      002901901  2",0,0,0,25,1,2,9,4,2,1,2,9
